qtr_yr,TICKER,qdate,dpr,roe,roa,GProf,npm,fcf_ocf,cash_debt,cash_lt,ocf_lct,totdebt_invcap,de_ratio,debt_ebitda,intcov_ratio,curr_ratio,cash_ratio,quick_ratio,DIVAMT,change_div,Industry
Q1 2010,TROW,2010-03-31,0.49,0.202,0.296,0.282,0.263,0.804,1.632,1.928,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.27,0,Financials
Q2 2010,TROW,2010-06-30,0.452,0.213,0.312,0.301,0.274,0.81,1.632,1.889,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.27,0,Financials
Q3 2010,TROW,2010-09-30,0.434,0.219,0.318,0.308,0.279,0.83,1.632,1.843,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.27,0,Financials
Q4 2010,TROW,2010-12-31,0.417,0.218,0.321,0.302,0.284,0.839,2.121,2.353,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.27,-1,Financials
Q1 2011,TROW,2011-03-31,0.407,0.232,0.335,0.324,0.286,0.871,2.121,1.992,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.31,0,Financials
Q2 2011,TROW,2011-06-30,0.396,0.238,0.345,0.334,0.289,0.907,2.121,2.128,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.31,0,Financials
Q3 2011,TROW,2011-09-30,0.4,0.235,0.343,0.337,0.285,0.931,2.121,2.15,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.31,0,Financials
Q4 2011,TROW,2011-12-31,0.413,0.23,0.351,0.345,0.281,0.913,2.713,2.568,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.31,-1,Financials
Q1 2012,TROW,2012-03-31,0.419,0.229,0.34,0.336,0.278,0.898,2.713,2.193,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.34,0,Financials
Q2 2012,TROW,2012-06-30,0.427,0.227,0.337,0.332,0.276,0.897,2.713,2.178,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.34,0,Financials
Q3 2012,TROW,2012-09-30,0.405,0.24,0.348,0.336,0.289,0.898,2.713,2.335,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.34,0,Financials
Q4 2012,TROW,2012-12-31,0.687,0.243,0.363,0.344,0.292,0.915,2.531,2.465,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.34,-1,Financials
Q4 2012,TROW,2012-12-31,0.687,0.243,0.363,0.344,0.292,0.915,2.531,2.465,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,1.0,1,Financials
Q1 2013,TROW,2013-03-31,0.668,0.248,0.358,0.347,0.298,0.926,2.531,2.343,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.38,0,Financials
Q2 2013,TROW,2013-06-30,0.653,0.251,0.365,0.351,0.3,0.928,2.531,2.562,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.38,0,Financials
Q3 2013,TROW,2013-09-30,0.652,0.246,0.366,0.352,0.297,0.92,2.531,2.746,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.38,0,Financials
Q4 2013,TROW,2013-12-31,0.382,0.242,0.375,0.344,0.301,0.914,5.736,6.502,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.38,-1,Financials
Q1 2014,TROW,2014-03-31,0.376,0.25,0.371,0.355,0.306,0.914,5.736,3.665,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.44,0,Financials
Q2 2014,TROW,2014-06-30,0.373,0.25,0.37,0.355,0.311,0.899,5.736,4.028,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.44,0,Financials
Q3 2014,TROW,2014-09-30,0.376,0.244,0.368,0.357,0.309,0.912,5.736,4.114,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.44,0,Financials
Q4 2014,TROW,2014-12-31,0.38,0.241,0.375,0.355,0.309,0.902,5.182,6.044,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.44,-1,Financials
Q1 2015,TROW,2015-03-31,0.396,0.236,0.361,0.353,0.305,0.895,5.182,3.107,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.52,-1,Financials
Q2 2015,TROW,2015-06-30,0.825,0.242,0.36,0.364,0.305,0.899,5.182,2.834,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,2.0,1,Financials
Q2 2015,TROW,2015-06-30,0.825,0.242,0.36,0.364,0.305,0.899,5.182,2.834,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.52,0,Financials
Q3 2015,TROW,2015-09-30,0.857,0.24,0.359,0.367,0.296,0.891,5.182,2.555,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.52,0,Financials
Q4 2015,TROW,2015-12-31,0.877,0.241,0.377,0.397,0.291,0.9,4.368,3.399,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.52,-1,Financials
Q1 2016,TROW,2016-03-31,0.884,0.251,0.361,0.357,0.292,0.859,4.368,2.502,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.54,0,Financials
Q2 2016,TROW,2016-06-30,0.501,0.227,0.346,0.329,0.263,0.744,4.368,2.367,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.54,0,Financials
Q3 2016,TROW,2016-09-30,0.482,0.239,0.332,0.313,0.272,0.63,4.368,2.32,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.54,0,Financials
Q4 2016,TROW,2016-12-31,0.455,0.249,0.341,0.311,0.288,0.13,0.322,2.401,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.54,-1,Financials
Q1 2017,TROW,2017-03-31,0.43,0.266,0.31,0.31,0.297,0.458,0.322,2.113,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.57,0,Financials
Q2 2017,TROW,2017-06-30,0.383,0.298,0.319,0.32,0.326,0.555,0.322,2.101,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.57,0,Financials
Q3 2017,TROW,2017-09-30,0.371,0.306,0.331,0.323,0.329,0.354,0.322,2.179,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.57,0,Financials
Q4 2017,TROW,2017-12-31,0.384,0.277,0.32,0.292,0.312,0.189,0.32,2.796,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0,0.57,-1,Financials
Q1 2018,TROW,2018-03-31,0.39,0.291,0.334,0.321,0.31,0.687,0.32,2.247,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.7,0,Financials
Q2 2018,TROW,2018-06-30,0.394,0.293,0.335,0.32,0.315,0.821,0.32,2.058,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.0,0.7,0,Financials
Q3 2018,TROW,2018-09-30,0.371,0.314,0.333,0.321,0.342,0.869,0.32,1.949,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.7,0,Financials
Q4 2018,TROW,2018-12-31,0.387,0.308,0.33,0.327,0.342,0.896,1.964,1.813,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.7,-1,Financials
Q1 2019,TROW,2019-03-31,0.381,0.308,0.314,0.303,0.353,0.893,1.964,1.624,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.76,0,Financials
Q2 2019,TROW,2019-06-30,0.37,0.316,0.305,0.296,0.364,0.888,1.964,1.59,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.76,0,Financials
Q3 2019,TROW,2019-09-30,0.383,0.304,0.299,0.291,0.355,0.88,1.964,1.529,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.76,0,Financials
Q4 2019,TROW,2019-12-31,0.353,0.322,0.303,0.276,0.379,0.866,1.375,1.678,0.0,0.017,0.156,0.057,0.0,0.0,0.0,0.0,0.76,-1,Financials
Q1 2020,TROW,2020-03-31,0.4,0.292,0.305,0.304,0.341,0.883,1.375,1.514,0.0,0.017,0.19,0.057,0.0,0.0,0.0,0.0,0.9,0,Financials
Q2 2020,TROW,2020-06-30,0.399,0.302,0.298,0.293,0.353,0.903,1.375,1.476,0.0,0.017,0.2,0.057,0.0,0.0,0.0,0.0,0.9,0,Financials
Q3 2020,TROW,2020-09-30,0.395,0.315,0.301,0.295,0.359,0.891,1.375,1.423,0.0,0.017,0.206,0.057,0.0,0.0,0.0,0.0,0.9,0,Financials
Q4 2020,TROW,2020-12-31,0.367,0.32,0.294,0.275,0.382,0.888,1.38,1.623,0.0,0.016,0.18,0.052,0.0,0.0,0.0,0.0,0.9,-1,Financials
Q1 2021,TROW,2021-03-31,0.327,0.397,0.321,0.305,0.423,0.893,1.38,1.501,0.0,0.016,0.217,0.052,0.0,0.0,0.0,0.0,1.08,-1,Financials
Q2 2021,TROW,2021-06-30,0.318,0.404,0.344,0.33,0.422,0.889,1.38,1.512,0.0,0.016,0.238,0.052,0.0,0.0,0.0,0.0,3.0,1,Financials
Q2 2021,TROW,2021-06-30,0.318,0.404,0.344,0.33,0.422,0.889,1.38,1.512,0.0,0.016,0.238,0.052,0.0,0.0,0.0,0.0,1.08,0,Financials
Q3 2021,TROW,2021-09-30,0.547,0.407,0.356,0.346,0.42,0.923,1.38,1.583,0.0,0.016,0.243,0.052,0.0,0.0,0.0,0.0,1.08,0,Financials
Q4 2021,TROW,2021-12-31,0.334,0.368,0.341,0.316,0.402,0.931,1.531,0.72,0.0,0.034,0.25,0.092,0.0,0.0,0.0,0.0,1.08,-1,Financials
