gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
4503,11850,2008-12-31,2009-09-30,2010-01-31,8.241,0.401,8.883,14.984,15.054,15.16,15.16,1.134,10.023,0.382,0.078,0.15,0.106,0.211,0.143,0.124,0.173,0.157,0.232,0.438,0.186,0.157,0.186,0.2,0.144,0.251,0.903,0.059,0.078,0.061,0.089,0.067,0.189,0.195,0.4,0.041,0.232,0.244,0.449,0.063,0.794,0.599,0.54,0.308,0.897,0.055,0.5,0.299,1.043,34.413,45.141,0.421,1.007,1.25,6.955,17.169,1.188,10.597,5.648,2.237,2.478,21.181,0.003,0,0,-0.04,2.336,,2.61%,XOM,30231G10
4503,11850,2009-12-31,2009-12-31,2010-02-28,8.49,0.415,8.7,16.169,16.209,16.332,16.332,1.114,10.791,0.416,0.07,0.138,0.095,0.199,0.126,0.115,0.165,0.145,0.216,0.435,0.173,0.148,0.173,0.183,0.135,0.235,0.902,0.058,0.078,0.061,0.137,0.102,0.092,0.209,0.5,0.041,0.252,0.258,0.441,0.06,0.733,0.546,0.241,0.209,0.848,0.053,0.505,0.26,1.067,20.815,26.967,0.209,0.839,1.061,9.229,19.023,1.195,10.528,8.175,2.249,2.492,86.819,0.004,0,0,-0.04,2.295,,2.58%,XOM,30231G10
4503,11850,2009-12-31,2009-12-31,2010-03-31,8.748,0.415,8.7,16.662,16.703,16.829,16.829,1.148,11.12,0.416,0.07,0.138,0.095,0.199,0.126,0.115,0.165,0.145,0.216,0.435,0.173,0.148,0.173,0.183,0.135,0.235,0.902,0.058,0.078,0.061,0.137,0.102,0.092,0.209,0.5,0.041,0.252,0.258,0.441,0.06,0.733,0.546,0.241,0.209,0.848,0.053,0.505,0.26,1.067,20.815,26.967,0.209,0.839,1.061,9.229,19.023,1.195,10.528,8.175,2.249,2.492,86.819,0.004,0,0,-0.04,2.365,,2.51%,XOM,30231G10
4503,11850,2009-12-31,2009-12-31,2010-04-30,8.808,0.415,8.7,16.858,16.9,17.028,17.028,1.155,11.196,0.416,0.07,0.138,0.095,0.199,0.126,0.115,0.165,0.145,0.216,0.435,0.173,0.148,0.173,0.183,0.135,0.235,0.902,0.058,0.078,0.061,0.137,0.102,0.092,0.209,0.5,0.041,0.252,0.258,0.441,0.06,0.733,0.546,0.241,0.209,0.848,0.053,0.505,0.26,1.067,20.815,26.967,0.209,0.839,1.061,9.229,19.023,1.195,10.528,8.175,2.249,2.492,86.819,0.004,0,0,-0.04,2.381,,2.48%,XOM,30231G10
4503,11850,2009-12-31,2010-03-31,2010-05-31,7.786,0.433,8.053,13.556,13.556,13.772,13.772,0.945,8.69,0.382,0.07,0.139,0.097,0.196,0.13,0.113,0.182,0.162,0.248,0.435,0.195,0.155,0.195,0.21,0.153,0.252,0.901,0.059,0.078,0.061,0.07,0.052,0.112,0.214,0.473,0.041,0.229,0.249,0.452,0.06,0.774,0.608,0.241,0.276,0.876,0.054,0.509,0.312,1.084,43.399,58.651,0.247,0.857,1.091,9.229,19.247,1.288,10.844,6.046,2.472,2.742,61.769,0.004,0,0,-0.05,2.078,,2.91%,XOM,30231G10
4503,11850,2009-12-31,2010-03-31,2010-06-30,8.003,0.433,8.053,12.796,12.796,13,13,0.971,8.932,0.382,0.07,0.139,0.097,0.196,0.13,0.113,0.182,0.162,0.248,0.435,0.195,0.155,0.195,0.21,0.153,0.252,0.901,0.059,0.078,0.061,0.07,0.052,0.112,0.214,0.473,0.041,0.229,0.249,0.452,0.06,0.774,0.608,0.241,0.276,0.876,0.054,0.509,0.312,1.084,43.399,58.651,0.247,0.857,1.091,9.229,19.247,1.288,10.844,6.046,2.472,2.742,61.769,0.004,0,0,-0.05,2.136,,3.08%,XOM,30231G10
4503,11850,2009-12-31,2010-03-31,2010-07-31,8.359,0.433,8.053,13.381,13.381,13.595,13.595,1.014,9.329,0.382,0.07,0.139,0.097,0.196,0.13,0.113,0.182,0.162,0.248,0.435,0.195,0.155,0.195,0.21,0.153,0.252,0.901,0.059,0.078,0.061,0.07,0.052,0.112,0.214,0.473,0.041,0.229,0.249,0.452,0.06,0.774,0.608,0.241,0.276,0.876,0.054,0.509,0.312,1.084,43.399,58.651,0.247,0.857,1.091,9.229,19.247,1.288,10.844,6.046,2.472,2.742,61.769,0.004,0,0,-0.05,2.231,,2.95%,XOM,30231G10
4503,11850,2009-12-31,2010-06-30,2010-08-31,8.336,0.6,7.042,11.302,11.324,11.411,11.411,0.951,7.598,0.327,0.078,0.146,0.106,0.2,0.14,0.12,0.199,0.186,0.282,0.435,0.226,0.177,0.226,0.239,0.173,0.255,0.889,0.073,0.093,0.076,0.02,0.016,0.1,0.216,0.477,0.049,0.265,0.209,0.436,0.077,0.839,0.718,0.241,0.403,0.842,0.068,0.508,0.311,1.075,128.668,173.44,0.229,0.841,1.072,9.229,19.815,1.27,11.214,6.215,2.39,2.689,79.527,0.003,0,0,-0.061,1.725,,2.98%,XOM,30231G10
4503,11850,2009-12-31,2010-06-30,2010-09-30,8.714,0.6,7.042,11.815,11.837,11.929,11.929,0.995,7.943,0.327,0.078,0.146,0.106,0.2,0.14,0.12,0.199,0.186,0.282,0.435,0.226,0.177,0.226,0.239,0.173,0.255,0.889,0.073,0.093,0.076,0.02,0.016,0.1,0.216,0.477,0.049,0.265,0.209,0.436,0.077,0.839,0.718,0.241,0.403,0.842,0.068,0.508,0.311,1.075,128.668,173.44,0.229,0.841,1.072,9.229,19.815,1.27,11.214,6.215,2.39,2.689,79.527,0.003,0,0,-0.061,1.803,,2.85%,XOM,30231G10
4503,11850,2009-12-31,2010-06-30,2010-10-31,9.287,0.6,7.042,12.713,12.738,12.836,12.836,1.06,8.465,0.327,0.078,0.146,0.106,0.2,0.14,0.12,0.199,0.186,0.282,0.435,0.226,0.177,0.226,0.239,0.173,0.255,0.889,0.073,0.093,0.076,0.02,0.016,0.1,0.216,0.477,0.049,0.265,0.209,0.436,0.077,0.839,0.718,0.241,0.403,0.842,0.068,0.508,0.311,1.075,128.668,173.44,0.229,0.841,1.072,9.229,19.815,1.27,11.214,6.215,2.39,2.689,79.527,0.003,0,0,-0.061,1.922,,2.65%,XOM,30231G10
